song_name,rass,dropbox_url
"raag-ahir-bhairav-prabhu tero naam jo dhyaye  lata mangeshkar  sahir ludhianvi  hum dono.mp3","shaant","https://www.dropbox.com/s/[FILE_ID]/raag-ahir-bhairav-prabhu tero naam jo dhyaye  lata mangeshkar  sahir ludhianvi  hum dono.mp3?dl=1"
"raag-ahir-bhairav-ram ka gungaan kariye by pandit bhimsen joshi & lata mangeshkar.mp3","shaant","https://www.dropbox.com/s/[FILE_ID]/raag-ahir-bhairav-ram ka gungaan kariye by pandit bhimsen joshi & lata mangeshkar.mp3?dl=1"
"raag-ahir-bhairav-मधबन म रधक नच र madhuban mein radhika nache re - hd वडय सग - महममद रफ.mp3","shaant","https://www.dropbox.com/s/[FILE_ID]/raag-ahir-bhairav-मधबन म रधक नच र madhuban mein radhika nache re - hd वडय सग - महममद रफ.mp3?dl=1"
"raag-bhupali-chanda-hai-tu-lata-mangeshkar.mp3","shaant","https://www.dropbox.com/s/[FILE_ID]/raag-bhupali-chanda-hai-tu-lata-mangeshkar.mp3?dl=1"
"raag-bhupali-dehachi tijori bhaktichach theva  marathi prarthana  ughad daar deva aata.mp3","shaant","https://www.dropbox.com/s/[FILE_ID]/raag-bhupali-dehachi tijori bhaktichach theva  marathi prarthana  ughad daar deva aata.mp3?dl=1"
"raag-bhupali-dekha ek khwab song  silsila  amitabh bachchan, rekha  kishore kumar, lata mangeshkar, shiv-hari.mp3","shaant","https://www.dropbox.com/s/[FILE_ID]/raag-bhupali-dekha ek khwab song  silsila  amitabh bachchan, rekha  kishore kumar, lata mangeshkar, shiv-hari.mp3?dl=1"
"raag-bhupali-kanchi re kanchi re   hare rama hare krishna.mp3","shaant","https://www.dropbox.com/s/[FILE_ID]/raag-bhupali-kanchi re kanchi re   hare rama hare krishna.mp3?dl=1"
"raag-bhupali-mere to giridhar gopalms subbulakshmimeera.mp3","shaant","https://www.dropbox.com/s/[FILE_ID]/raag-bhupali-mere to giridhar gopalms subbulakshmimeera.mp3?dl=1"
"raag-bhupali-panchhi banoo udti phiroon-lata-mangeshkar-nargis.mp3","shaant","https://www.dropbox.com/s/[FILE_ID]/raag-bhupali-panchhi banoo udti phiroon-lata-mangeshkar-nargis.mp3?dl=1"
"raag-bhupali-umrao jaan  - in aankhon ki masti.mp3","shaant","https://www.dropbox.com/s/[FILE_ID]/raag-bhupali-umrao jaan  - in aankhon ki masti.mp3?dl=1"
"raag-kalyan-aaye ho meri zindagi mein  alka yagnik  raja hindustani  1996.mp3","shaant","https://www.dropbox.com/s/[FILE_ID]/raag-kalyan-aaye ho meri zindagi mein  alka yagnik  raja hindustani  1996.mp3?dl=1"
"raag-kalyan-aaye ho meri zindagi mein (male)  aamir, karisma  udit narayan  raja hindustani  90's hit hindi.mp3","shaant","https://www.dropbox.com/s/[FILE_ID]/raag-kalyan-aaye ho meri zindagi mein (male)  aamir, karisma  udit narayan  raja hindustani  90's hit hindi.mp3?dl=1"
"raag-kalyan-abhi na jao chor kar ke dil abhi bhara nahi.mp3","shaant","https://www.dropbox.com/s/[FILE_ID]/raag-kalyan-abhi na jao chor kar ke dil abhi bhara nahi.mp3?dl=1"
"raag-kalyan-chandan sa badan (maleversion) (hd) - saraswatichandra - nutan - manish - bollywood evergreen songs.mp3","shaant","https://www.dropbox.com/s/[FILE_ID]/raag-kalyan-chandan sa badan (maleversion) (hd) - saraswatichandra - nutan - manish - bollywood evergreen songs.mp3?dl=1"
"raag-shaant-aa-neele-gagan-tale-pyar-hum-kare---badshah---hemant-kumar-and-lata.mp3","shaant","https://www.dropbox.com/s/[FILE_ID]/raag-shaant-aa-neele-gagan-tale-pyar-hum-kare---badshah---hemant-kumar-and-lata.mp3?dl=1"
"raag-shaant-raag-bhairavi-mohe-bhool-gaye.mp3","shaant","https://www.dropbox.com/s/[FILE_ID]/raag-shaant-raag-bhairavi-mohe-bhool-gaye.mp3?dl=1"
"raag-shaant-test-upload-song.mp3","shaant","https://www.dropbox.com/s/[FILE_ID]/raag-shaant-test-upload-song.mp3?dl=1"
"raag-shree-at-sunset-manjusha-patil.mp3","shaant","https://www.dropbox.com/s/[FILE_ID]/raag-shree-at-sunset-manjusha-patil.mp3?dl=1"
"raag-shree-pt-venkatesh-kumar-bazm-e-khas.mp3","shaant","https://www.dropbox.com/s/[FILE_ID]/raag-shree-pt-venkatesh-kumar-bazm-e-khas.mp3?dl=1"
"raga-shree-vidushi-shruti-sadolikar-katkar-kaha-main-guru-dhundan-sumira-kar-l_r1mxdmst.mp3","shaant","https://www.dropbox.com/s/[FILE_ID]/raga-shree-vidushi-shruti-sadolikar-katkar-kaha-main-guru-dhundan-sumira-kar-l_r1mxdmst.mp3?dl=1"
"raga-shree-vidushi-shruti-sadolikar-katkar-kaha-main-guru-dhundan-sumira-kar-l_xusupgu3.mp3","shaant","https://www.dropbox.com/s/[FILE_ID]/raga-shree-vidushi-shruti-sadolikar-katkar-kaha-main-guru-dhundan-sumira-kar-l_xusupgu3.mp3?dl=1"
"yaman_gundechabros_shant.mp3","shaant","https://www.dropbox.com/s/[FILE_ID]/yaman_gundechabros_shant.mp3?dl=1"
"bhopaltodi_aliakbarkhan_shok.mp3","shok","https://www.dropbox.com/s/[FILE_ID]/bhopaltodi_aliakbarkhan_shok.mp3?dl=1"
"bhopaltodi_shok.wav","shok","https://www.dropbox.com/s/[FILE_ID]/bhopaltodi_shok.wav?dl=1"
"darbarikanad_vilayatkhan_karuna.wav","shok","https://www.dropbox.com/s/[FILE_ID]/darbarikanad_vilayatkhan_karuna.wav?dl=1"
"Desh_amjadalikhan_hasya_shant.mp3","shok","https://www.dropbox.com/s/[FILE_ID]/Desh_amjadalikhan_hasya_shant.mp3?dl=1"
"jogia_shok.wav","shok","https://www.dropbox.com/s/[FILE_ID]/jogia_shok.wav?dl=1"
"jogiya_amjadalikhan_shok.mp3","shok","https://www.dropbox.com/s/[FILE_ID]/jogiya_amjadalikhan_shok.mp3?dl=1"
"kaushiki-chakraborty-raag-bhairavi-shadaj-2021_uk9l91js.mp3","shok","https://www.dropbox.com/s/[FILE_ID]/kaushiki-chakraborty-raag-bhairavi-shadaj-2021_uk9l91js.mp3?dl=1"
"marwa_kushaldas_shok.mp3","shok","https://www.dropbox.com/s/[FILE_ID]/marwa_kushaldas_shok.mp3?dl=1"
"raag-bhairavi-awara hoon  raj kapoor nargis  awaara  mukesh  evergreen bollywood song.mp3","shok","https://www.dropbox.com/s/[FILE_ID]/raag-bhairavi-awara hoon  raj kapoor nargis  awaara  mukesh  evergreen bollywood song.mp3?dl=1"
"raag-bhairavi-babul mora naihar chhooto jaye  बबल मर नहर chitra singh  jagjit singh ghazals  ghazal songs.mp3","shok","https://www.dropbox.com/s/[FILE_ID]/raag-bhairavi-babul mora naihar chhooto jaye  बबल मर नहर chitra singh  jagjit singh ghazals  ghazal songs.mp3?dl=1"
"raag-bhairavi-ka karoon sajani aaye - swami 1977 songs - shabana azmi - dheeraj kumar - yesudas - filmigaane (1).mp3","shok","https://www.dropbox.com/s/[FILE_ID]/raag-bhairavi-ka karoon sajani aaye - swami 1977 songs - shabana azmi - dheeraj kumar - yesudas - filmigaane (1).mp3?dl=1"
"raag-bhairavi-suno chhoti si gudiya ki kahani (happy) - lata mangeshkar songs  nutan  seema (1955) movie songs.mp3","shok","https://www.dropbox.com/s/[FILE_ID]/raag-bhairavi-suno chhoti si gudiya ki kahani (happy) - lata mangeshkar songs  nutan  seema (1955) movie songs.mp3?dl=1"
"raag-bhairavi-ऐ मलक तर बद हम aye malik tere bande hum - hd वडय सग - लत मगशकर, मनन ड.mp3","shok","https://www.dropbox.com/s/[FILE_ID]/raag-bhairavi-ऐ मलक तर बद हम aye malik tere bande hum - hd वडय सग - लत मगशकर, मनन ड.mp3?dl=1"
"raag-darbari-kanada-dil jalta hai to jalne de mukesh film pehli nazar (1945) anil biswas  safdar aah sitapuri.mp3","shok","https://www.dropbox.com/s/[FILE_ID]/raag-darbari-kanada-dil jalta hai to jalne de mukesh film pehli nazar (1945) anil biswas  safdar aah sitapuri.mp3?dl=1"
"raag-darbari-kanada-jane kahan gaye woh din with lyrics  जन कह गए वह दन क बल   mukesh.mp3","shok","https://www.dropbox.com/s/[FILE_ID]/raag-darbari-kanada-jane kahan gaye woh din with lyrics  जन कह गए वह दन क बल   mukesh.mp3?dl=1"
"raag-darbari-kanada-jhanak jhanak tori baaje payaliya- manna dey -film-mere huzoor(1968)md-shankar jaikishan ly-hasrat.mp3","shok","https://www.dropbox.com/s/[FILE_ID]/raag-darbari-kanada-jhanak jhanak tori baaje payaliya- manna dey -film-mere huzoor(1968)md-shankar jaikishan ly-hasrat.mp3?dl=1"
"raag-darbari-kanada-koi matwala 4k video song  कई मतवल  lata mangeshkar  asha parkeh  love in tokyo.mp3","shok","https://www.dropbox.com/s/[FILE_ID]/raag-darbari-kanada-koi matwala 4k video song  कई मतवल  lata mangeshkar  asha parkeh  love in tokyo.mp3?dl=1"
"raag-darbari-kanada-mohabbat ki jhooti kahani pe roye - lata mangeshkar  madhubala  mughal-e-azam.mp3","shok","https://www.dropbox.com/s/[FILE_ID]/raag-darbari-kanada-mohabbat ki jhooti kahani pe roye - lata mangeshkar  madhubala  mughal-e-azam.mp3?dl=1"
"raag-darbari-kanada-o duniya ke rakhwale (hd)  baiju bawra songs  meena kumari  bharat bhushan  naushad hits.mp3","shok","https://www.dropbox.com/s/[FILE_ID]/raag-darbari-kanada-o duniya ke rakhwale (hd)  baiju bawra songs  meena kumari  bharat bhushan  naushad hits.mp3?dl=1"
"raga jogia  hindustani classical vocalist  sanchaita chaudhuri.mp3","shok","https://www.dropbox.com/s/[FILE_ID]/raga jogia  hindustani classical vocalist  sanchaita chaudhuri.mp3?dl=1"
"raga-bhairavi-raga-bharava-pt-hariprasad-chaurasia-flute-music.mp3","shok","https://www.dropbox.com/s/[FILE_ID]/raga-bhairavi-raga-bharava-pt-hariprasad-chaurasia-flute-music.mp3?dl=1"
"bageshwari_shringar.wav","shringar","https://www.dropbox.com/s/[FILE_ID]/bageshwari_shringar.wav?dl=1"
"bahar_amjadalikhan_rati.mp3","shringar","https://www.dropbox.com/s/[FILE_ID]/bahar_amjadalikhan_rati.mp3?dl=1"
"bilkashanitodi_kushaldas_rati.mp3","shringar","https://www.dropbox.com/s/[FILE_ID]/bilkashanitodi_kushaldas_rati.mp3?dl=1"
"desh-shringar.wav","shringar","https://www.dropbox.com/s/[FILE_ID]/desh-shringar.wav?dl=1"
"malkuans-shringar.wav","shringar","https://www.dropbox.com/s/[FILE_ID]/malkuans-shringar.wav?dl=1"
"purbayan chatterjee_yaman_shringar.mp3","shringar","https://www.dropbox.com/s/[FILE_ID]/purbayan chatterjee_yaman_shringar.mp3?dl=1"
"yaman_shringar.wav","shringar","https://www.dropbox.com/s/[FILE_ID]/yaman_shringar.wav?dl=1"
"adana_nikhilbanerjee_veer.mp3","veer","https://www.dropbox.com/s/[FILE_ID]/adana_nikhilbanerjee_veer.mp3?dl=1"
"bahar_amjadalikhan_veer.mp3","veer","https://www.dropbox.com/s/[FILE_ID]/bahar_amjadalikhan_veer.mp3?dl=1"
"bhairavi_vilayatkhan_veer.wav","veer","https://www.dropbox.com/s/[FILE_ID]/bhairavi_vilayatkhan_veer.wav?dl=1"
"bhimpalasi_kushaldas_veer.mp3","veer","https://www.dropbox.com/s/[FILE_ID]/bhimpalasi_kushaldas_veer.mp3?dl=1"
"bhimpalasi_veer.wav","veer","https://www.dropbox.com/s/[FILE_ID]/bhimpalasi_veer.wav?dl=1"
"raag-veer-aa-neele-gagan-tale-pyar-hum-kare---badshah---hemant-kumar-and-lata.mp3","veer","https://www.dropbox.com/s/[FILE_ID]/raag-veer-aa-neele-gagan-tale-pyar-hum-kare---badshah---hemant-kumar-and-lata.mp3?dl=1"
"raga-bahaduri-todi-by-manjiri-asanare-kelkar.mp3","veer","https://www.dropbox.com/s/[FILE_ID]/raga-bahaduri-todi-by-manjiri-asanare-kelkar.mp3?dl=1"
"raga-bahaduri-todi-vidushi-dr-ashwini-bhide-deshpande-pashupati-naath-akqw_11t5brl9.mp3","veer","https://www.dropbox.com/s/[FILE_ID]/raga-bahaduri-todi-vidushi-dr-ashwini-bhide-deshpande-pashupati-naath-akqw_11t5brl9.mp3?dl=1"
